name,rating,genre,released,country,gross,company
Roadie,PG,Comedy,"June 13, 1980",United States,4226370.0,Alive Enterprises
Just Tell Me What You Want,R,Comedy,"January 18, 1980",United States,2086905.0,Warner Bros.
The Last Flight of Noah's Ark,G,Adventure,"June 25, 1980",United States,11000000.0,Walt Disney Productions
Little Miss Marker,PG,Comedy,"March 21, 1980",United States,6321392.0,Universal Pictures
Willie & Phil,R,Comedy,"August 15, 1980",United States,4400000.0,Twentieth Century Fox
Babylon,,Drama,,United Kingdom,109749.0,Diversity Music
Windwalker,PG,Adventure,"November 18, 1983",United States,,Santa Fe International
Phobia,R,Drama,"September 9, 1980",Canada,59167.0,Borough Park Productions
Windows,R,Drama,"January 18, 1980",United States,2128395.0,Mike Lobell Productions
Loving Couples,PG,Comedy,"October 24, 1980",United States,2806659.0,Time Life Films
The King and the Mockingbird,Not Rated,Animation,"March 19, 1980",France,167451.0,Les Films Paul Grimault
"Oh, God! Book II",PG,Comedy,"October 3, 1980",United States,14504277.0,Warner Bros.
"Those Lips, Those Eyes",R,Comedy,"August 15, 1980",United States,804713.0,Herb Jaffe
La Cage aux Folles II,R,Comedy,"February 15, 1981",France,6950125.0,Da.Ma. Cinematografica
The Gong Show Movie,R,Comedy,"May 23, 1980",United States,6621520.0,Chuck Barris Productions
Gilda Live,R,Comedy,"March 28, 1980",United States,2261507.0,Broadway Productions
Why Would I Lie?,PG,Comedy,"August 8, 1980",United States,1175855.0,Metro-Goldwyn-Mayer (MGM)
First Family,R,Comedy,"December 25, 1980",United States,15198912.0,F.F. Associates
Mantis Fist Fighter,,Action,"July 9, 1982",Hong Kong,,East Asia Film Company
Indiana Jones and the Raiders of the Lost Ark,PG,Action,"June 12, 1981",United States,389925971.0,Paramount Pictures
Body Heat,R,Crime,"August 28, 1981",United States,24058838.0,The Ladd Company
An American Werewolf in London,R,Comedy,"August 21, 1981",United Kingdom,30669378.0,Polygram Pictures
Escape from New York,R,Action,"July 10, 1981",United States,25244626.0,AVCO Embassy Pictures
The Evil Dead,NC-17,Horror,"April 15, 1983",United States,2956630.0,Renaissance Pictures
Porky's,R,Comedy,"March 19, 1982",Canada,111289673.0,Astral Bellevue Pathé
Blow Out,R,Crime,"July 24, 1981",United States,12000000.0,Filmways Pictures
Clash of the Titans,PG,Action,"June 12, 1981",United Kingdom,41092328.0,Charles H. Schneer Productions
Excalibur,R,Adventure,"April 10, 1981",United Kingdom,34971136.0,Cinema '84
Mad Max 2,R,Action,"May 21, 1982",Australia,23668369.0,Kennedy Miller Productions
Das Boot,,Adventure,"February 10, 1982",West Germany,11487676.0,Bavaria Film
Stripes,R,Comedy,"June 26, 1981",United States,85297000.0,Columbia Pictures
Possession,R,Drama,"October 28, 1983",France,1113538.0,Gaumont
The Cannonball Run,PG,Action,"June 19, 1981",United States,72179579.0,Golden Harvest Company
Thief,R,Action,"March 27, 1981",United States,11492915.0,Mann/Caan Productions
Endless Love,R,Drama,"July 17, 1981",United States,32492674.0,PolyGram Filmed Entertainment
Time Bandits,PG,Adventure,"November 6, 1981",United Kingdom,42368025.0,HandMade Films
The Four Seasons,PG,Comedy,"May 22, 1981",United States,50427646.0,Universal Pictures
Friday the 13th Part 2,R,Horror,"May 1, 1981",United States,21722776.0,Georgetown Productions Inc.
Scanners,R,Horror,"January 14, 1981",Canada,14225876.0,Canadian Film Development Corporation (CFDC)
For Your Eyes Only,PG,Action,"June 26, 1981",United Kingdom,54813222.0,Eon Productions
Halloween II,R,Horror,"October 30, 1981",United States,25533818.0,Dino De Laurentiis Company
Taps,PG,Drama,"December 25, 1981",United States,35856053.0,Major Studio Partners
Reds,PG,Biography,"December 25, 1981",United States,40382659.0,Barclays Mercantile Industrial Finance
On Golden Pond,PG,Drama,"February 12, 1982",United States,119285432.0,IPC Films
The Fox and the Hound,G,Animation,"July 10, 1981",United States,63456988.0,Walt Disney Animation Studios
Chariots of Fire,PG,Biography,"April 9, 1982",United Kingdom,59303359.0,Enigma Productions
Absence of Malice,PG,Drama,"December 18, 1981",United States,40716963.0,Columbia Pictures
Tarzan the Ape Man,Approved,Adventure,"July 24, 1981",United States,36565280.0,Metro-Goldwyn-Mayer (MGM)
Victory,PG,Drama,"July 31, 1981",United Kingdom,10853418.0,Lorimar Film Entertainment
Arthur,PG,Comedy,"July 17, 1981",United States,95461682.0,Orion Pictures
My Dinner with Andre,PG,Biography,"October 11, 1981",United States,5073.0,Saga Productions Inc.
Caveman,PG,Comedy,"April 17, 1981",United States,15965924.0,Estudios Churubusco Azteca S.A.
Dead & Buried,R,Horror,"October 9, 1981",United States,,Aspen Productions (I)
History of the World: Part I,R,Comedy,"June 12, 1981",United States,31672907.0,Brooksfilms
The Howling,R,Horror,"April 10, 1981",United States,17985893.0,Embassy Pictures
Dragonslayer,PG,Action,"June 26, 1981",United Kingdom,14110013.0,Paramount Pictures
Cutter's Way,R,Crime,"February 10, 1982",United States,1752634.0,Gurian Entertainment
Quest for Fire,R,Adventure,"February 12, 1982",Canada,20962615.0,International Cinema Corporation (ICC)
The Final Conflict,R,Horror,"March 20, 1981",United Kingdom,20471382.0,Twentieth Century Fox
Mommie Dearest,R,Biography,"September 25, 1981",United States,19032261.0,Paramount Pictures
Private Lessons,R,Comedy,"June 10, 1981",United States,26279000.0,Barry & Enright Productions
The Postman Always Rings Twice,R,Crime,"March 20, 1981",West Germany,12376625.0,CIP Filmproduktion GmbH
Ragtime,PG,Drama,"December 25, 1981",United States,14920781.0,Dino De Laurentiis Company
Deadly Blessing,R,Horror,"August 14, 1981",United States,8279042.0,PolyGram Filmed Entertainment
Eyewitness,R,Crime,"February 13, 1981",United States,6400000.0,Twentieth Century Fox
Gallipoli,PG,Adventure,"August 28, 1981",Australia,5732587.0,R&R Films
Outland,R,Action,"May 22, 1981",United Kingdom,17374595.0,The Ladd Company
Southern Comfort,R,Action,"September 25, 1981",United States,,Cinema Group Ventures
S.O.B.,R,Comedy,"July 1, 1981",United States,14867086.0,Artista Management
The Beyond,R,Horror,"November 11, 1983",Italy,123843.0,Fulvia Film
Ghost Story,R,Drama,"December 18, 1981",United States,23371905.0,Universal Pictures
My Bloody Valentine,R,Horror,"February 11, 1981",Canada,5672031.0,Canadian Film Development Corporation (CFDC)
The Funhouse,R,Horror,"March 13, 1981",United States,7886857.0,Universal Pictures
One from the Heart,R,Drama,"February 11, 1982",United States,636796.0,Zoetrope Studios
The French Lieutenant's Woman,R,Drama,"October 16, 1981",United Kingdom,26890068.0,Juniper Films
The Great Muppet Caper,G,Adventure,"June 26, 1981",United Kingdom,31206251.0,Henson Associates (HA)
True Confessions,R,Crime,"September 25, 1981",United States,12850276.0,Chartoff-Winkler Productions
Looker,PG,Drama,"October 30, 1981",United States,,The Ladd Company
Nighthawks,R,Action,"April 10, 1981",United States,19905359.0,Universal Pictures
Nice Dreams,R,Comedy,"June 5, 1981",United States,37000000.0,C & C Brown Production
Sharky's Machine,R,Action,"December 18, 1981",United States,35610100.0,Deliverance Productions
Neighbors,R,Comedy,"December 18, 1981",United States,29916207.0,Columbia Pictures
Puberty Blues,R,Comedy,"December 10, 1981",Australia,237000.0,Limelight Productions (II)
Eye of the Needle,R,Romance,"July 24, 1981",United Kingdom,17583634.0,Kings Road Entertainment
Wolfen,R,Horror,"July 24, 1981",United States,10626725.0,Orion Pictures
Student Bodies,R,Comedy,"August 7, 1981",United States,5165432.0,Allen Smithee Classic Films
Prince of the City,R,Crime,"August 26, 1981",United States,8124257.0,Orion Pictures
The Hand,R,Drama,"April 24, 1981",United States,2447576.0,Orion Pictures
Continental Divide,PG,Comedy,"September 18, 1981",United States,15578237.0,Universal Pictures
Diva,R,Music,"April 23, 1982",France,110014.0,Les Films Galaxie
Venom,R,Horror,"January 29, 1982",United Kingdom,5229643.0,Morison Film Group
Fort Apache the Bronx,R,Crime,"February 6, 1981",United States,29200000.0,Time Life Films
Eyes of a Stranger,R,Horror,"March 27, 1981",United States,1118634.0,Georgetown Productions Inc.
Zorro: The Gay Blade,PG,Action,"July 17, 1981",United States,,Melvin Simon Productions
Under the Rainbow,PG,Comedy,"July 31, 1981",United States,18826490.0,Innovisions
Carbon Copy,PG,Comedy,"September 25, 1981",United States,9566593.0,DeHaven/Shapiro Productions
The Incredible Shrinking Woman,PG,Comedy,"January 30, 1981",United States,20259961.0,Lija Productions
The Night the Lights Went Out in Georgia,PG,Drama,"June 5, 1981",United States,14923752.0,Viacom Enterprises
Quartet,R,Drama,"October 25, 1981",United Kingdom,12042.0,Merchant Ivory Productions
Graduation Day,R,Horror,"May 1, 1981",United States,,Baughn/Freed Productions
Modern Problems,PG,Comedy,"December 25, 1981",United States,26154211.0,Twentieth Century Fox
Pennies from Heaven,R,Drama,"January 1, 1982",United States,9171289.0,Metro-Goldwyn-Mayer (MGM)
American Pop,R,Animation,"February 13, 1981",United States,,Bakshi Productions
The Legend of the Lone Ranger,PG,Action,"May 22, 1981",United States,12617845.0,Eaves Movie Ranch
Sphinx,PG,Adventure,"February 11, 1981",United Kingdom,2022771.0,Orion Pictures
Night School,R,Horror,"September 11, 1981",United States,1169875.0,Lorimar Productions
An Eye for an Eye,R,Action,"August 14, 1981",United States,,Adams Apple Film Company
Zoot Suit,R,Drama,"January 1, 1982",United States,3256082.0,Universal Pictures
Rich and Famous,R,Drama,"October 9, 1981",United States,14492125.0,Jaquet
Buddy Buddy,R,Comedy,"December 11, 1981",United States,7258543.0,Heron Productions
Bustin' Loose,R,Comedy,"May 22, 1981",United States,31261269.0,Universal Pictures
Modern Romance,R,Comedy,"March 13, 1981",United States,2863642.0,Columbia Pictures
Heartbeeps,PG,Comedy,"December 18, 1981",United States,2154696.0,Universal Pictures
Back Roads,R,Adventure,"March 13, 1981",United States,11809387.0,CBS Theatrical Films
Take This Job and Shove It,PG,Comedy,"May 15, 1981",United States,17569027.0,Cinema Group Ventures
Raggedy Man,R,Drama,"September 18, 1981",United States,1976198.0,Universal Pictures
Whose Life Is It Anyway?,R,Comedy,"January 22, 1982",United States,8206145.0,Metro-Goldwyn-Mayer (MGM)
Inchon,PG,Drama,"September 17, 1982",South Korea,5200986.0,One Way Productions
All Night Long,R,Comedy,"March 6, 1981",United States,4454295.0,Universal Pictures
The Pursuit of D.B. Cooper,PG,Adventure,"November 13, 1981",United States,3702028.0,PolyGram Pictures
Rollover,R,Drama,"December 11, 1981",United States,10851261.0,IPC Films
Only When I Laugh,R,Comedy,"September 25, 1981",United States,25524778.0,Columbia Pictures
Honky Tonk Freeway,PG,Action,"August 21, 1981",United States,2004742.0,EMI Films
Paternity,PG,Comedy,"October 2, 1981",United States,18838812.0,Paramount Pictures
King of the Mountain,PG,Action,"May 1, 1981",United States,1791147.0,PolyGram Pictures
Scream,R,Horror,"January 1, 1981",United States,,Calendar International Pictures
The Devil and Max Devlin,PG,Comedy,"March 6, 1981",United States,16000000.0,Walt Disney Productions
The Amateur,R,Crime,"February 12, 1982",Canada,6892098.0,Balkan Productions
Longshot,TV-PG,Comedy,,United States,,Greentree
Comin' at Ya!,R,Western,"July 24, 1981",Italy,12000000.0,Lupo-Anthony-Quintano Productions
Le Pont du Nord,Not Rated,Adventure,"March 24, 1982",France,17110.0,Les Films du Losange
Silence of the North,PG,Drama,"October 23, 1981",Canada,1622898.0,Universal Pictures
Fast Times at Ridgemont High,R,Comedy,"August 13, 1982",United States,27092880.0,Universal Pictures
Blade Runner,R,Action,"June 25, 1982",United States,41676878.0,The Ladd Company
The Thing,R,Horror,"June 25, 1982",United States,19632053.0,Universal Pictures
Conan the Barbarian,R,Action,"May 14, 1982",United States,68851475.0,Universal Pictures
E.T. the Extra-Terrestrial,PG,Family,"June 11, 1982",United States,792910554.0,Universal Pictures
First Blood,R,Action,"October 22, 1982",United States,125212904.0,Anabasis N.V.
An Officer and a Gentleman,R,Drama,"August 13, 1982",United States,129795554.0,Lorimar Film Entertainment
Grease 2,PG,Comedy,"June 11, 1982",United States,15171476.0,Paramount Pictures
Annie,PG,Comedy,"June 18, 1982",United States,57063861.0,Columbia Pictures
Poltergeist,PG,Horror,"June 4, 1982",United States,77142388.0,Metro-Goldwyn-Mayer (MGM)
48 Hrs.,R,Action,"December 8, 1982",United States,78868508.0,Paramount Pictures
Star Trek II: The Wrath of Khan,PG,Action,"June 4, 1982",United States,78912963.0,Paramount Pictures
Paradise,R,Adventure,"May 7, 1982",Canada,5588800.0,Embassy Pictures
The Last American Virgin,R,Comedy,"July 30, 1982",United States,5829781.0,Cannon Group
Sophie's Choice,R,Drama,"March 4, 1983",United Kingdom,30036000.0,Incorporated Television Company (ITC)
Gandhi,PG,Biography,"February 25, 1983",United Kingdom,52767889.0,International Film Investors
Tootsie,PG,Comedy,"December 17, 1982",United States,177200000.0,Columbia Pictures
Tron,PG,Action,"July 9, 1982",United States,33000525.0,Walt Disney Productions
The Secret of NIMH,G,Animation,"July 16, 1982",United States,14665733.0,Aurora
The King of Comedy,PG,Comedy,"February 18, 1983",United States,2536242.0,Embassy International Pictures
Rocky III,PG,Drama,"May 28, 1982",United States,125052686.0,Chartoff-Winkler Productions
The Beastmaster,PG,Action,"August 20, 1982",United States,14056528.0,Leisure Investment Company
Creepshow,R,Comedy,"November 12, 1982",United States,21028755.0,United Film Distribution Company (UFDC)
The Man from Snowy River,PG,Adventure,"November 5, 1982",Australia,20659423.0,Cambridge Productions
Pink Floyd: The Wall,R,Drama,"September 17, 1982",United Kingdom,22265763.0,Goldcrest Films International
Cat People,R,Fantasy,"April 2, 1982",United States,7000000.0,RKO Pictures
Fanny and Alexander,R,Drama,"December 17, 1982",Sweden,6795771.0,Cinematograph AB
Friday the 13th Part III,R,Horror,"August 13, 1982",United States,36690067.0,Paramount Pictures
Firefox,PG,Action,"June 18, 1982",United States,46708276.0,Major Studio Partners
Halloween III: Season of the Witch,R,Horror,"October 22, 1982",United States,14400000.0,Dino De Laurentiis Company
The Dark Crystal,PG,Adventure,"December 17, 1982",United Kingdom,41630431.0,Incorporated Television Company (ITC)
The Verdict,R,Drama,"December 17, 1982",United States,53993738.0,Twentieth Century Fox
Pieces,Not Rated,Horror,"September 23, 1983",Spain,2032311.0,Almena Films
Zapped!,R,Comedy,"September 3, 1982",United States,16897768.0,Embassy Pictures
Six Pack,PG,Comedy,"July 16, 1982",United States,20225989.0,Twentieth Century Fox
The World According to Garp,R,Comedy,"July 23, 1982",United States,29712172.0,Pan Arts
Diner,R,Comedy,"May 21, 1982",United States,14099953.0,Metro-Goldwyn-Mayer (MGM)
The Best Little Whorehouse in Texas,R,Comedy,"July 23, 1982",United States,69701637.0,Universal Pictures
The Year of Living Dangerously,PG,Drama,"February 18, 1983",Australia,10278575.0,Metro-Goldwyn-Mayer (MGM)
Night Shift,R,Comedy,"July 30, 1982",United States,21095638.0,Major Studio Partners
Summer Lovers,R,Comedy,"July 16, 1982",United States,4968000.0,Filmways Pictures
Victor Victoria,PG,Comedy,"March 19, 1982",United Kingdom,28229046.0,Metro-Goldwyn-Mayer (MGM)
The Last Unicorn,G,Animation,"November 19, 1982",United Kingdom,6455330.0,Rankin/Bass Productions
The Entity,R,Drama,"February 4, 1983",United States,13277558.0,American Cinema Productions
Airplane II: the Sequel,PG,Comedy,"December 10, 1982",United States,27150534.0,Paramount Pictures
The Toy,PG,Comedy,"December 10, 1982",United States,47118057.0,Columbia Pictures
The House on Sorority Row,R,Horror,"July 28, 1983",United States,10604986.0,VAE Productions
Evil Under the Sun,PG,Crime,"March 5, 1982",United Kingdom,6110670.0,EMI Films
The Sword and the Sorcerer,R,Action,"April 30, 1982",United States,39103425.0,Sorcerer Productions
Death Wish II,R,Action,"February 19, 1982",United States,16100000.0,Golan-Globus Productions
Silent Rage,R,Action,"April 2, 1982",United States,10490791.0,Columbia Pictures
Megaforce,PG,Action,"June 25, 1982",Hong Kong,5675599.0,Golden Harvest Company
Personal Best,R,Drama,"June 26, 1982",United States,5672311.0,The Geffen Company
Dead Men Don't Wear Plaid,PG,Comedy,"May 21, 1982",United States,18196170.0,Aspen Film Society
Amityville II: The Possession,R,Horror,"September 24, 1982",Mexico,12534817.0,Dino De Laurentiis Company
Missing,PG,Biography,"March 12, 1982",United States,14000000.0,PolyGram Filmed Entertainment
Frances,R,Biography,"March 11, 1983",United States,,Brooksfilms
The Seduction,R,Thriller,"January 29, 1982",United States,11378339.0,The Romantic Venture
Cannery Row,PG,Comedy,"February 12, 1982",United States,5301539.0,Chai Productions
Deathtrap,PG,Comedy,"March 19, 1982",United States,19282134.0,Warner Bros.
Tex,PG,Drama,"July 30, 1982",United States,7400000.0,Walt Disney Productions
Time Walker,PG,Horror,"November 19, 1982",United States,,Byzantine Productions
"I, the Jury",R,Crime,"April 22, 1982",United States,1515578.0,American Cinema Productions
Tempest,PG,Comedy,"September 24, 1982",United States,5005245.0,Columbia Pictures
Young Doctors in Love,R,Comedy,"July 16, 1982",United States,30688860.0,ABC Motion Pictures
My Favorite Year,PG,Comedy,"October 8, 1982",United States,20123620.0,Metro-Goldwyn-Mayer (MGM)
Still of the Night,PG,Crime,"November 19, 1982",United States,5979947.0,United Artists
Parasite,R,Horror,"March 12, 1982",United States,2270.0,Embassy Pictures
Making Love,R,Drama,"March 5, 1982",United States,11897978.0,IndieProd Company Productions
Honkytonk Man,PG,Comedy,"December 15, 1982",United States,4484991.0,The Malpaso Company
The Beast Within,R,Horror,"February 12, 1982",United States,7742572.0,Katzka
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",PG,Comedy,"April 6, 1983",United States,840958.0,Sandcastle 5 Productions
The Final Option,R,Action,"September 16, 1983",Switzerland,2666873.0,Richmond Light Horse Productions
Trail of the Pink Panther,PG,Comedy,"December 17, 1982",United Kingdom,9056073.0,United Artists
The Sender,R,Drama,"October 22, 1982",United Kingdom,1054328.0,Paramount Pictures
The Border,R,Crime,"February 12, 1982",United States,6118683.0,Efer Productions
Kiss Me Goodbye,PG,Comedy,"December 22, 1982",United States,15782759.0,Twentieth Century Fox
A Midsummer Night's Sex Comedy,PG,Comedy,"July 16, 1982",United States,9077269.0,Jack Rollins & Charles H. Joffe Productions
Vice Squad,R,Action,"January 22, 1982",United Kingdom,13253583.0,AVCO Embassy Pictures
Best Friends,PG,Comedy,"December 17, 1982",United States,36821203.0,Warner Bros.
Shoot the Moon,R,Drama,"February 19, 1982",United States,9217530.0,Metro-Goldwyn-Mayer (MGM)
Lookin' to Get Out,R,Comedy,"June 30, 1983",United States,946461.0,Lorimar Productions
Barbarosa,PG,Western,"February 19, 1982",United States,1736123.0,Incorporated Television Company (ITC)
Visiting Hours,R,Horror,"May 28, 1982",Canada,13258670.0,Canadian Film Development Corporation (CFDC)
A Little Sex,R,Comedy,"April 2, 1982",United States,2370376.0,Company Four
Class Reunion,R,Comedy,"October 29, 1982",United States,10054150.0,ABC Motion Pictures
Hanky Panky,PG,Action,"June 4, 1982",United States,9823934.0,Columbia Pictures
Author! Author!,PG,Comedy,"June 18, 1982",United States,13111101.0,Twentieth Century Fox
Split Image,R,Drama,"October 3, 1982",Canada,263635.0,PolyGram Filmed Entertainment
The Challenge,R,Action,"July 23, 1982",United States,2977706.0,CBS Theatrical Films
The Soldier,R,Action,"August 27, 1982",United States,6328816.0,James Glickenhaus
Wrong Is Right,R,Comedy,"May 14, 1982",United States,3583513.0,Columbia Pictures
Six Weeks,PG,Drama,"December 17, 1982",United States,6668025.0,PolyGram Pictures
The State of Things,,Drama,"February 18, 1983",West Germany,3700.0,Gray City
Jekyll and Hyde... Together Again,R,Sci-Fi,"October 1, 1982",United States,3792188.0,Paramount Pictures
Forced Vengeance,R,Action,"July 30, 1982",United States,6660333.0,Metro-Goldwyn-Mayer (MGM)
The Missionary,R,Comedy,"November 5, 1982",United Kingdom,7241180.0,HandMade Films
The Escape Artist,PG,Comedy,"May 28, 1982",United States,143369.0,Zoetrope Studios
Night Crossing,PG,Drama,"February 5, 1982",United Kingdom,8000000.0,Walt Disney Productions
Endangered Species,R,Drama,"September 10, 1982",United States,1474249.0,Alive Enterprises
Things Are Tough All Over,R,Action,"August 4, 1982",United States,21134374.0,C & C Brown Production
Homework,R,Comedy,"August 27, 1982",United States,2914328.0,Jensen Farley Pictures
Jinxed!,R,Comedy,"October 22, 1982",United States,2869638.0,Herb Jaffe
The Return of Martin Guerre,Not Rated,Biography,"August 26, 1983",France,3723036.0,S.F.P.C.
They Call Me Bruce,PG,Action,"November 12, 1982",United States,16894678.0,Gold Pine Productions
Some Kind of Hero,R,Comedy,"April 2, 1982",United States,23671186.0,Paramount Pictures
Hammett,PG,Crime,"September 17, 1982",United States,42914.0,Orion Pictures
Five Days One Summer,PG,Drama,,United States,199078.0,Cable and Wireless Finance
Penitentiary II,R,Crime,"April 2, 1982",United States,3178542.0,Bob-Bea Productions
If You Could See What I Hear,PG,Biography,"April 23, 1982",Canada,8693512.0,Cypress Grove
Partners,R,Comedy,"April 30, 1982",United States,6062898.0,Paramount Pictures
Richard Pryor: Live on the Sunset Strip,R,Comedy,"March 12, 1982",United States,36299720.0,Columbia Pictures
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,G,Animation,"November 19, 1982",United States,78350.0,Warner Bros. Animation
Monsignor,R,Crime,"October 22, 1982",United States,12408066.0,Frank Yablans Presentations
"Yes, Giorgio",PG,Comedy,"September 24, 1982",United States,2279543.0,Metro-Goldwyn-Mayer (MGM)
I Ought to Be in Pictures,PG,Comedy,"March 26, 1982",United States,6968359.0,Twentieth Century Fox
